,team_size,n_sources,heuristic_size,reliability_mean,reliability_range,n_samples,team_type,accuracy,precision,pool_accuracy,bounded_pool_accuracy,diversity,average
6277,9,15,9,0.55,0.2,10000,diverse,0.6437906520762974,,0.6546420141048676,0.6543050366378813,0.4444444444444442,0.6173619803765995
6278,9,15,9,0.55,0.2,10000,diverse,0.6482575232790714,,0.6546420141048676,0.6545004174851891,0.4444444444444441,0.6203624727085217
6279,9,15,9,0.55,0.2,10000,diverse,0.6595932020853862,,0.6546420141048676,0.6550105922179439,0.4444444444444441,0.6281203238422989
6280,9,15,9,0.55,0.2,10000,diverse,0.6462822592994325,,0.6546420141048676,0.654416520649386,0.444444444444444,0.6192203521344168
6281,9,15,9,0.55,0.2,10000,diverse,0.6502176134143378,,0.6546420141048676,0.6546202245326934,0.4444444444444442,0.6224860911507153
6282,9,15,9,0.55,0.2,10000,diverse,0.6560276022727554,,0.6546420141048676,0.6549218680402851,0.4444444444444441,0.6276613895297143
6283,9,15,9,0.55,0.2,10000,diverse,0.6441244874061469,,0.6546420141048676,0.6544680964401155,0.4444444444444442,0.6196513905672697
6284,9,15,9,0.55,0.2,10000,diverse,0.6508456782389869,,0.6546420141048676,0.654568237515941,0.4444444444444441,0.6214788528750923
6285,9,15,9,0.55,0.2,10000,diverse,0.6441048818721032,,0.6546420141048676,0.6542981835072977,0.4444444444444441,0.6174843198211443
6286,9,15,9,0.55,0.2,10000,diverse,0.6562479792179043,,0.6546420141048676,0.654841161489231,0.4444444444444442,0.6262346290016134
6287,9,15,9,0.55,0.2,10000,diverse,0.6461436703752788,,0.6546420141048676,0.654390892951004,0.4444444444444442,0.6184312117980497
6288,9,15,9,0.55,0.2,10000,diverse,0.6511551979439109,,0.6546420141048676,0.6545930973395854,0.4444444444444441,0.6223157270650019
6289,9,15,9,0.55,0.2,10000,diverse,0.6515621827546789,,0.6546420141048676,0.6545242827434639,0.4444444444444441,0.6208353515375487
6290,9,15,9,0.55,0.2,10000,diverse,0.6552506497431181,,0.6546420141048676,0.6548948968553888,0.4444444444444442,0.6272452792574847
6291,9,15,9,0.55,0.2,10000,diverse,0.6455431659479595,,0.6546420141048676,0.6543574906129416,0.4444444444444442,0.6179649564748452
6292,9,15,9,0.55,0.2,10000,diverse,0.6505329054350707,,0.6546420141048676,0.6545187101792004,0.4444444444444441,0.6209242322687766
6293,9,15,9,0.55,0.2,10000,diverse,0.6517971463681814,,0.6546420141048676,0.65459374816137,0.4444444444444442,0.621935047216946
6294,9,15,9,0.55,0.2,10000,diverse,0.6490244723198797,,0.6546420141048676,0.6545191773633036,0.4444444444444442,0.6209066123543401
6295,9,15,9,0.55,0.2,10000,diverse,0.6514449836988364,,0.6546420141048676,0.6546652162739244,0.4444444444444442,0.6232147743055134
6296,9,15,9,0.55,0.2,10000,diverse,0.6474118217781768,,0.6546420141048676,0.654470108025491,0.4444444444444443,0.6199557660859951
6297,9,15,9,0.55,0.2,10000,diverse,0.6445447245233704,,0.6546420141048676,0.6543428026201096,0.444444444444444,0.6175847160166508
6298,9,15,9,0.55,0.2,10000,diverse,0.6539309302337343,,0.6546420141048676,0.6547659425611281,0.4444444444444442,0.6251304627509034
6299,9,15,9,0.55,0.2,10000,diverse,0.6525088941607566,,0.6546420141048676,0.6547417946100128,0.4444444444444441,0.6246657187124248
6300,9,15,9,0.55,0.2,10000,diverse,0.6417596291487606,,0.6546420141048676,0.6540758563182504,0.4444444444444441,0.614484752833757
6301,9,15,9,0.55,0.2,10000,diverse,0.6482968599558405,,0.6546420141048676,0.6545223480828526,0.4444444444444443,0.6208379974333472
6302,9,15,9,0.55,0.2,10000,diverse,0.6498636598086728,,0.6546420141048676,0.6546393628014726,0.444444444444444,0.6225563069221514
6303,9,15,9,0.55,0.2,10000,diverse,0.6492321459115196,,0.6546420141048676,0.6546418492296738,0.4444444444444441,0.6226863753062045
6304,9,15,9,0.55,0.2,10000,diverse,0.6597801135260359,,0.6546420141048676,0.6550112684466282,0.4444444444444441,0.6287339898088936
6305,9,15,9,0.55,0.2,10000,diverse,0.6508965901312002,,0.6546420141048676,0.6545228331961594,0.4444444444444442,0.6205411075117931
6306,9,15,9,0.55,0.2,10000,diverse,0.6542366838746694,,0.6546420141048676,0.6547629544050517,0.4444444444444442,0.6248168233369445
6307,9,15,9,0.55,0.2,10000,diverse,0.651977113967063,,0.6546420141048676,0.6546683857041866,0.4444444444444441,0.6233425704470371
6308,9,15,9,0.55,0.2,10000,diverse,0.6490548414854843,,0.6546420141048676,0.654617911492208,0.4444444444444443,0.622586464800242
6309,9,15,9,0.55,0.2,10000,diverse,0.6505075197587814,,0.6546420141048676,0.6547128809446998,0.444444444444444,0.6237409160847134
6310,9,15,9,0.55,0.2,10000,diverse,0.653125592238803,,0.6546420141048676,0.6547128809446998,0.4444444444444441,0.6238955806716064
6311,9,15,9,0.55,0.2,10000,diverse,0.6538891908904694,,0.6546420141048676,0.6547163510298494,0.4444444444444443,0.6243038876043872
6312,9,15,9,0.55,0.2,10000,diverse,0.6549248306134896,,0.6546420141048676,0.6548404524545227,0.4444444444444443,0.6263046669811518
6313,9,15,9,0.55,0.2,10000,diverse,0.6502774656490686,,0.6546420141048676,0.6545987428434221,0.4444444444444441,0.62184864985645
6314,9,15,9,0.55,0.2,10000,diverse,0.6495200537687428,,0.6546420141048676,0.6545932167630226,0.4444444444444441,0.6221183947534658
6315,9,15,9,0.55,0.2,10000,diverse,0.6458898520630031,,0.6546420141048676,0.6544173226562645,0.4444444444444441,0.6190820807832413
6316,9,15,9,0.55,0.2,10000,diverse,0.6532847553993096,,0.6546420141048676,0.6546433129665625,0.4444444444444442,0.6228459996586272
6317,9,15,9,0.55,0.2,10000,diverse,0.6543046333153414,,0.6546420141048676,0.6547607062321469,0.4444444444444442,0.6250064523537142
6318,9,15,9,0.55,0.2,10000,diverse,0.6576450965205426,,0.6546420141048676,0.6550094926046931,0.4444444444444442,0.6287959565632287
6319,9,15,9,0.55,0.2,10000,diverse,0.652046516589841,,0.6546420141048676,0.6546921068860744,0.4444444444444443,0.6237226601348074
6320,9,15,9,0.55,0.2,10000,diverse,0.6542483239538726,,0.6546420141048676,0.6548428248561371,0.4444444444444442,0.6262380936118309
6321,9,15,9,0.55,0.2,10000,diverse,0.6467633923913726,,0.6546420141048676,0.6544193660006062,0.4444444444444441,0.619021587046037
6322,9,15,9,0.55,0.2,10000,diverse,0.6490304861982112,,0.6546420141048676,0.6545432800234978,0.4444444444444441,0.6213376671030388
6323,9,15,9,0.55,0.2,10000,diverse,0.642944385185094,,0.6546420141048676,0.65433006953474,0.4444444444444443,0.6176583659195664
6324,9,15,9,0.55,0.2,10000,diverse,0.645118601357648,,0.6546420141048676,0.6544439418516117,0.444444444444444,0.6191404052400944
6325,9,15,9,0.55,0.2,10000,diverse,0.6433469682084618,,0.6546420141048676,0.654311703756395,0.4444444444444443,0.6172351953921993
6326,9,15,9,0.55,0.2,10000,diverse,0.6589334371380211,,0.6546420141048676,0.6551758548392355,0.4444444444444441,0.6308013448037171
6327,9,15,9,0.55,0.2,10000,diverse,0.6497798828671564,,0.6546420141048676,0.6545932167630226,0.4444444444444441,0.6220918200702495
6328,9,15,9,0.55,0.2,10000,diverse,0.6600239150986367,,0.6546420141048676,0.6550109730796719,0.4444444444444442,0.6285502059287305
6329,9,15,9,0.55,0.2,10000,diverse,0.6528369674428136,,0.6546420141048676,0.6546623260038998,0.4444444444444442,0.6231602815861195
6330,9,15,9,0.55,0.2,10000,diverse,0.654239184665567,,0.6546420141048676,0.6547433188251841,0.4444444444444442,0.6245480856987093
6331,9,15,9,0.55,0.2,10000,diverse,0.6502828054923154,,0.6546420141048676,0.6546206619981646,0.4444444444444441,0.6223720103474809
6332,9,15,9,0.55,0.2,10000,diverse,0.6497330962652982,,0.6546420141048676,0.6545456324096247,0.4444444444444441,0.6213682858531041
6333,9,15,9,0.55,0.2,10000,diverse,0.6488288418792784,,0.6546420141048676,0.6545715349985162,0.4444444444444441,0.6216606822768724
6334,9,15,9,0.55,0.2,10000,diverse,0.6519566776334825,,0.6546420141048676,0.6546963019681715,0.4444444444444443,0.6235509507467278
6335,9,15,9,0.55,0.2,10000,diverse,0.6431929621814214,,0.6546420141048676,0.6540668935864038,0.4444444444444443,0.61454653113708
6336,9,15,9,0.55,0.2,10000,diverse,0.650968068190999,,0.6546420141048676,0.65466726163157,0.4444444444444442,0.623304380938897
6337,9,15,9,0.55,0.2,10000,diverse,0.6447235283603868,,0.6546420141048676,0.654338946157779,0.4444444444444443,0.6175589791329581
6338,9,15,9,0.55,0.2,10000,diverse,0.6497128987274015,,0.6546420141048676,0.6545190463070294,0.4444444444444441,0.6204696237236192
6339,9,15,9,0.55,0.2,10000,diverse,0.6506390320908256,,0.6546420141048676,0.6547152850076562,0.4444444444444441,0.6241751285105821
6340,9,15,9,0.55,0.2,10000,diverse,0.6457215938767699,,0.6546420141048676,0.6543690108533176,0.4444444444444442,0.6177883162513516
6341,9,15,9,0.55,0.2,10000,diverse,0.6436932790665721,,0.6546420141048676,0.6542442919287024,0.4444444444444442,0.6166838374474283
6342,9,15,9,0.55,0.2,10000,diverse,0.6546036250987419,,0.6546420141048676,0.654662649016051,0.4444444444444441,0.6228829508858309
6343,9,15,9,0.55,0.2,10000,diverse,0.6482496629323888,,0.6546420141048676,0.6545206572440715,0.4444444444444442,0.6204548070334375
6344,9,15,9,0.55,0.2,10000,diverse,0.6480882743490453,,0.6546420141048676,0.6544447400007258,0.444444444444444,0.6196086926633074
6345,9,15,9,0.55,0.2,10000,diverse,0.6531762816796419,,0.6546420141048676,0.6546419596404845,0.4444444444444441,0.6226472505418426
6346,9,15,9,0.55,0.2,10000,diverse,0.6590821334133141,,0.6546420141048676,0.655040305578448,0.4444444444444441,0.6292110747907586
6347,9,15,9,0.55,0.2,10000,diverse,0.6497208439043484,,0.6546420141048676,0.6545983193486521,0.4444444444444442,0.6219398637540048
6348,9,15,9,0.55,0.2,10000,diverse,0.6435154802170047,,0.6546420141048676,0.6542383101616595,0.444444444444444,0.6165613202521025
6349,9,15,9,0.55,0.2,10000,diverse,0.6593068472523618,,0.6546420141048676,0.655073383663419,0.4444444444444441,0.6297587502520592
6350,9,15,9,0.55,0.2,10000,diverse,0.6463679933995284,,0.6546420141048676,0.6543639818398738,0.4444444444444444,0.6184258080394914
6351,9,15,9,0.55,0.2,10000,diverse,0.6528666267766139,,0.6546420141048676,0.6546695192257477,0.4444444444444441,0.623384259584553
6352,9,15,9,0.55,0.2,10000,diverse,0.6528885764097744,,0.6546420141048676,0.654895249811492,0.444444444444444,0.6270084220683434
6353,9,15,9,0.55,0.2,10000,diverse,0.6475697840502886,,0.6546420141048676,0.65442032908689,0.4444444444444441,0.6191208927698213
6354,9,15,9,0.55,0.2,10000,diverse,0.6424014782613439,,0.6546420141048676,0.6544137809074116,0.4444444444444442,0.6185237361072758
6355,9,15,9,0.55,0.2,10000,diverse,0.6509463809597339,,0.6546420141048676,0.6545914444649646,0.4444444444444441,0.6220510082865345
6356,9,15,9,0.55,0.2,10000,diverse,0.6468127673424784,,0.6546420141048676,0.6543031832034628,0.4444444444444442,0.6173867059379115
6357,9,15,9,0.55,0.2,10000,diverse,0.6517919078731931,,0.6546420141048676,0.6546187316538915,0.4444444444444442,0.6226407860722171
6358,9,15,9,0.55,0.2,10000,diverse,0.6493053575359504,,0.6546420141048676,0.6546203113809083,0.444444444444444,0.622390053769475
6359,9,15,9,0.55,0.2,10000,diverse,0.6485125388650409,,0.6546420141048676,0.6545006587369536,0.4444444444444442,0.6200354837560138
6360,9,15,9,0.55,0.2,10000,diverse,0.6454340307854483,,0.6546420141048676,0.6544121468917353,0.4444444444444442,0.618751668475237
6361,9,15,9,0.55,0.2,10000,diverse,0.6507179723891765,,0.6546420141048676,0.6546181593993678,0.4444444444444442,0.6225418711473772
6362,9,15,9,0.55,0.2,10000,diverse,0.6508667873893061,,0.6546420141048676,0.6546898764031883,0.4444444444444442,0.6233008203483464
6363,9,15,9,0.55,0.2,10000,diverse,0.649057136117829,,0.6546420141048676,0.654493363164444,0.4444444444444441,0.6201885572516467
6364,9,15,9,0.55,0.2,10000,diverse,0.6442260308280172,,0.6546420141048676,0.654388355072586,0.4444444444444441,0.6182437043498615
6365,9,15,9,0.55,0.2,10000,diverse,0.6495788035235969,,0.6546420141048676,0.6545435147820784,0.444444444444444,0.6213295923310702
6366,9,15,9,0.55,0.2,10000,diverse,0.6520352582920076,,0.6546420141048676,0.6547134131772743,0.4444444444444441,0.6241507083381848
6367,9,15,9,0.55,0.2,10000,diverse,0.6531178301390873,,0.6546420141048676,0.6546438549442785,0.4444444444444441,0.6227205906996027
6368,9,15,9,0.55,0.2,10000,diverse,0.6631062247980984,,0.6546420141048676,0.6551754808054576,0.4444444444444441,0.6305638262688457
6369,9,15,9,0.55,0.2,10000,diverse,0.6516583391501151,,0.6546420141048676,0.6547405897565864,0.4444444444444439,0.6240446636006084
6370,9,15,9,0.55,0.2,10000,diverse,0.652427346037077,,0.6546420141048676,0.6547162213843452,0.4444444444444441,0.6242099533086856
6371,9,15,9,0.55,0.2,10000,diverse,0.6523464456622243,,0.6546420141048676,0.6546181350914544,0.4444444444444442,0.6225355618422923
6372,9,15,9,0.55,0.2,10000,diverse,0.6482191026986988,,0.6546420141048676,0.6544258052344422,0.4444444444444442,0.6189867922490491
6373,9,15,9,0.55,0.2,10000,diverse,0.654818349427499,,0.6546420141048676,0.6547629515986777,0.4444444444444442,0.6245849171782522
6374,9,15,9,0.55,0.2,10000,diverse,0.6560522239185933,,0.6546420141048676,0.6549243996508387,0.4444444444444442,0.6275960489836514
6375,9,15,9,0.55,0.2,10000,diverse,0.6537632745853581,,0.6546420141048676,0.6548184360443745,0.4444444444444443,0.6259490594135024
6376,9,15,9,0.55,0.2,10000,diverse,0.6482176773122816,,0.6546420141048676,0.654541197209648,0.4444444444444442,0.620752682747871
6377,9,15,9,0.55,0.2,10000,diverse,0.6491515706887578,,0.6546420141048676,0.6544649494098145,0.444444444444444,0.6199722323785876
6378,9,15,9,0.55,0.2,10000,diverse,0.6502713295724377,,0.6546420141048676,0.6544446822876883,0.4444444444444441,0.6194229336893052
6379,9,15,9,0.55,0.2,10000,diverse,0.6528505730634045,,0.6546420141048676,0.6546405207591744,0.4444444444444441,0.6227140793489602
6380,9,15,9,0.55,0.2,10000,diverse,0.6383794042462929,,0.6546420141048676,0.6541917354043054,0.4444444444444443,0.6155571934931596
6381,9,15,9,0.55,0.2,10000,diverse,0.6527038278091625,,0.6546420141048676,0.6546144664220647,0.4444444444444442,0.6222824016753185
6382,9,15,9,0.55,0.2,10000,diverse,0.6539742840348877,,0.6546420141048676,0.6546173668005915,0.444444444444444,0.6225096451814812
6383,9,15,9,0.55,0.2,10000,diverse,0.6504902641143164,,0.6546420141048676,0.6546158493846761,0.4444444444444442,0.6226264489538056
6384,9,15,9,0.55,0.2,10000,diverse,0.6508737183801679,,0.6546420141048676,0.6547190742886946,0.4444444444444442,0.6240703910949971
6385,9,15,9,0.55,0.2,10000,diverse,0.6478039111152674,,0.6546420141048676,0.6544503100905703,0.4444444444444442,0.6193476422231061
6386,9,15,9,0.55,0.2,10000,diverse,0.636085211195903,,0.6546420141048676,0.6539982699470993,0.4444444444444441,0.6134212320857914
6387,9,15,9,0.55,0.2,10000,diverse,0.6487480555486985,,0.6546420141048676,0.6544723075545726,0.4444444444444443,0.6200975462106598
6388,9,15,9,0.55,0.2,10000,diverse,0.6480942839863911,,0.6546420141048676,0.6544945967329969,0.4444444444444441,0.6203078643092802
6389,9,15,9,0.55,0.2,10000,diverse,0.6452826107700992,,0.6546420141048676,0.6542465677658531,0.4444444444444441,0.6164672959977051
6390,9,15,9,0.55,0.2,10000,diverse,0.6529771878521268,,0.6546420141048676,0.6547180370108074,0.4444444444444443,0.6240404883901092
6391,9,15,9,0.55,0.2,10000,diverse,0.6484391093204718,,0.6546420141048676,0.6544145129311018,0.4444444444444441,0.6193423513629036
6392,9,15,9,0.55,0.2,10000,diverse,0.6551890537572682,,0.6546420141048676,0.6548689411880425,0.4444444444444443,0.6266646017964055
