,team_size,n_sources,heuristic_size,reliability_mean,reliability_range,n_samples,team_type,accuracy_opinion,precision_opinion,accuracy_evidence,accuracy_bounded,diversity,average
5088,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9765955618901868,,0.977065010906729,0.9784641519844268,0.5722222222222224,0.9293870833333332
5089,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9767291666825813,,0.977065010906729,0.97871184740412,0.5722222222222224,0.9297381069958848
5090,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9767640339368272,,0.977065010906729,0.9785013650874712,0.5666666666666668,0.9302886779835392
5091,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9766337614092336,,0.9719526684085908,0.9783737349689235,0.5666666666666667,0.9300003995198902
5092,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9761746945715004,,0.977065010906729,0.9785013650874712,0.5666666666666671,0.9302423919753088
5093,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9765085234339144,,0.977065010906729,0.97871184740412,0.5722222222222224,0.92969466563786
5094,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9764945722891007,,0.977065010906729,0.9785013650874712,0.566666666666667,0.9302928600823044
5095,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9763790121242698,,0.977065010906729,0.9782813008121846,0.5666666666666669,0.9300499845679012
5096,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9767668783932284,,0.977065010906729,0.97871184740412,0.5722222222222224,0.929738683127572
5097,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9764934222624252,,0.977065010906729,0.9785013650874712,0.5666666666666668,0.9302884310699588
5098,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9765753957537994,,0.977065010906729,0.9782921988025928,0.5666666666666671,0.9299168775720164
5099,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9756675741828938,,0.977065010906729,0.9780881914731936,0.5611111111111113,0.9305366306584362
5100,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9763723506077518,,0.977065010906729,0.9779838563728072,0.5555555555555557,0.9310960699588476
5101,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9760564168421588,,0.977065010906729,0.9778844368081951,0.5611111111111113,0.9302483161865568
5102,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9763179493018924,,0.9719526684085908,0.9777351213921894,0.55,0.931613382201646
5103,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9760739381610412,,0.9719526684085908,0.9779256004728863,0.5555555555555558,0.9310334670781892
5104,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.976742885332724,,0.977065010906729,0.9781753029707156,0.5611111111111113,0.9307012242798351
5105,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9763510976486726,,0.977065010906729,0.9785013650874712,0.5666666666666669,0.9302913143004116
5106,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9765401352803744,,0.977065010906729,0.9782813008121846,0.5666666666666671,0.930020229766804
5107,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9765437192763764,,0.977065010906729,0.9785013650874712,0.5666666666666669,0.930287127914952
5108,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9763372927083548,,0.977065010906729,0.9785069587281386,0.5722222222222222,0.9294021810699588
5109,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9751296900957906,,0.9719526684085908,0.9775332456687456,0.5500000000000003,0.9315264540466393
5110,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9768257687130948,,0.977065010906729,0.97871184740412,0.5722222222222224,0.9297224125514404
5111,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9763075909343194,,0.977065010906729,0.9785013650874712,0.5666666666666669,0.9302575771604936
5112,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9767459935975824,,0.977065010906729,0.97871184740412,0.5722222222222225,0.9297406738683128
5113,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9761039251709976,,0.977065010906729,0.977920661684808,0.5500000000000003,0.9319756275720164
5114,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9762780484002456,,0.977065010906729,0.9785593288034898,0.5722222222222223,0.9294576208847736
5115,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.97594288366883,,0.977065010906729,0.977920661684808,0.5500000000000004,0.9320471270576132
5116,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9760859421106274,,0.9719526684085908,0.9782846022655248,0.5666666666666668,0.9298652503429354
5117,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9758760639822648,,0.9719526684085908,0.978241717347522,0.5611111111111111,0.930725010288066
5118,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9757908021876612,,0.977065010906729,0.977870938958296,0.5555555555555557,0.9310191820987654
5119,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.976558118247309,,0.977065010906729,0.9788716439261834,0.5777777777777781,0.9290478395061728
5120,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.9765621989670316,,0.977065010906729,0.9785013650874712,0.5666666666666669,0.9302572822359396
5121,9,13,5,0.75,0.2,10000,qualified_diverse_90,0.976250559461636,,0.977065010906729,0.9783646851000706,0.5666666666666668,0.9299690997942388
